API,Module,Controller,Handler,Request DTO,Response DTO,Permission,Enforcement Status,Source
POST /api/v1/identity/users,identity,SpringIdentityController,createUser,CreateUserRequest; EvaluatePermissionRequest; package-info,PermissionDecisionResponse; UserResponse; package-info,HIDRA_IDENTITY_USERS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/identity/api/rest/controller/SpringIdentityController.java
GET /api/v1/incident/capabilities,incident,SpringIncidentController,capabilities,Unable to determine from static route evidence,IncidentResponse; package-info,HIDRA_INCIDENT_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/incident/api/rest/controller/SpringIncidentController.java
POST /api/v1/incident/close-incident,incident,SpringIncidentController,closeIncident,CloseIncidentRequest; OpenIncidentRequest; RecordIncidentResponseActionRequest; package-info,IncidentResponse; package-info,HIDRA_INCIDENT_CLOSE_INCIDENT_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/incident/api/rest/controller/SpringIncidentController.java
POST /api/v1/incident/incidents,incident,SpringIncidentController,openIncident,CloseIncidentRequest; OpenIncidentRequest; RecordIncidentResponseActionRequest; package-info,IncidentResponse; package-info,HIDRA_INCIDENT_INCIDENTS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/incident/api/rest/controller/SpringIncidentController.java
POST /api/v1/incident/incidents/closures,incident,SpringIncidentController,closeIncident,CloseIncidentRequest; OpenIncidentRequest; RecordIncidentResponseActionRequest; package-info,IncidentResponse; package-info,HIDRA_INCIDENT_INCIDENTS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/incident/api/rest/controller/SpringIncidentController.java
POST /api/v1/incident/open-incident,incident,SpringIncidentController,openIncident,CloseIncidentRequest; OpenIncidentRequest; RecordIncidentResponseActionRequest; package-info,IncidentResponse; package-info,HIDRA_INCIDENT_OPEN_INCIDENT_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/incident/api/rest/controller/SpringIncidentController.java
POST /api/v1/incident/record-response-action,incident,SpringIncidentController,recordResponseAction,CloseIncidentRequest; OpenIncidentRequest; RecordIncidentResponseActionRequest; package-info,IncidentResponse; package-info,HIDRA_INCIDENT_RECORD_RESPONSE_ACTION_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/incident/api/rest/controller/SpringIncidentController.java
POST /api/v1/incident/response-actions,incident,SpringIncidentController,recordResponseAction,CloseIncidentRequest; OpenIncidentRequest; RecordIncidentResponseActionRequest; package-info,IncidentResponse; package-info,HIDRA_INCIDENT_RESPONSE_ACTIONS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/incident/api/rest/controller/SpringIncidentController.java
GET /api/v1/integration/capabilities,integration,SpringIntegrationController,capabilities,Unable to determine from static route evidence,ExternalSystemResponse; IntegrationExchangeMessageResponse; IntegrationJobRunResponse; package-info,HIDRA_INTEGRATION_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integration/api/rest/controller/SpringIntegrationController.java
POST /api/v1/integration/exchange-messages,integration,SpringIntegrationController,recordExchangeMessage,RecordExchangeMessageRequest; RegisterExternalSystemRequest; StartIntegrationJobRunRequest; package-info,ExternalSystemResponse; IntegrationExchangeMessageResponse; IntegrationJobRunResponse; package-info,HIDRA_INTEGRATION_EXCHANGE_MESSAGES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integration/api/rest/controller/SpringIntegrationController.java
POST /api/v1/integration/external-systems,integration,SpringIntegrationController,registerExternalSystem,RecordExchangeMessageRequest; RegisterExternalSystemRequest; StartIntegrationJobRunRequest; package-info,ExternalSystemResponse; IntegrationExchangeMessageResponse; IntegrationJobRunResponse; package-info,HIDRA_INTEGRATION_EXTERNAL_SYSTEMS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integration/api/rest/controller/SpringIntegrationController.java
POST /api/v1/integration/job-runs,integration,SpringIntegrationController,startIntegrationJobRun,RecordExchangeMessageRequest; RegisterExternalSystemRequest; StartIntegrationJobRunRequest; package-info,ExternalSystemResponse; IntegrationExchangeMessageResponse; IntegrationJobRunResponse; package-info,HIDRA_INTEGRATION_JOB_RUNS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integration/api/rest/controller/SpringIntegrationController.java
POST /api/v1/integration/record-exchange-message,integration,SpringIntegrationController,recordExchangeMessage,RecordExchangeMessageRequest; RegisterExternalSystemRequest; StartIntegrationJobRunRequest; package-info,ExternalSystemResponse; IntegrationExchangeMessageResponse; IntegrationJobRunResponse; package-info,HIDRA_INTEGRATION_RECORD_EXCHANGE_MESSAGE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integration/api/rest/controller/SpringIntegrationController.java
POST /api/v1/integration/register-external-system,integration,SpringIntegrationController,registerExternalSystem,RecordExchangeMessageRequest; RegisterExternalSystemRequest; StartIntegrationJobRunRequest; package-info,ExternalSystemResponse; IntegrationExchangeMessageResponse; IntegrationJobRunResponse; package-info,HIDRA_INTEGRATION_REGISTER_EXTERNAL_SYSTEM_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integration/api/rest/controller/SpringIntegrationController.java
POST /api/v1/integration/start-integration-job-run,integration,SpringIntegrationController,startIntegrationJobRun,RecordExchangeMessageRequest; RegisterExternalSystemRequest; StartIntegrationJobRunRequest; package-info,ExternalSystemResponse; IntegrationExchangeMessageResponse; IntegrationJobRunResponse; package-info,HIDRA_INTEGRATION_START_INTEGRATION_JOB_RUN_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integration/api/rest/controller/SpringIntegrationController.java
POST /api/v1/integrity/assessments,integrity,SpringIntegrityController,createIntegrityAssessment,CreateIntegrityAssessmentRequest; CreateIntegrityProgramRequest; OpenIntegrityCaseRequest; package-info,IntegrityAssessmentResponse; IntegrityCaseResponse; IntegrityProgramResponse; package-info,HIDRA_INTEGRITY_ASSESSMENTS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integrity/api/rest/controller/SpringIntegrityController.java
GET /api/v1/integrity/capabilities,integrity,SpringIntegrityController,capabilities,Unable to determine from static route evidence,IntegrityAssessmentResponse; IntegrityCaseResponse; IntegrityProgramResponse; package-info,HIDRA_INTEGRITY_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integrity/api/rest/controller/SpringIntegrityController.java
POST /api/v1/integrity/cases,integrity,SpringIntegrityController,openIntegrityCase,CreateIntegrityAssessmentRequest; CreateIntegrityProgramRequest; OpenIntegrityCaseRequest; package-info,IntegrityAssessmentResponse; IntegrityCaseResponse; IntegrityProgramResponse; package-info,HIDRA_INTEGRITY_CASES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integrity/api/rest/controller/SpringIntegrityController.java
POST /api/v1/integrity/create-integrity-assessment,integrity,SpringIntegrityController,createIntegrityAssessment,CreateIntegrityAssessmentRequest; CreateIntegrityProgramRequest; OpenIntegrityCaseRequest; package-info,IntegrityAssessmentResponse; IntegrityCaseResponse; IntegrityProgramResponse; package-info,HIDRA_INTEGRITY_CREATE_INTEGRITY_ASSESSMENT_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integrity/api/rest/controller/SpringIntegrityController.java
POST /api/v1/integrity/create-integrity-program,integrity,SpringIntegrityController,createIntegrityProgram,CreateIntegrityAssessmentRequest; CreateIntegrityProgramRequest; OpenIntegrityCaseRequest; package-info,IntegrityAssessmentResponse; IntegrityCaseResponse; IntegrityProgramResponse; package-info,HIDRA_INTEGRITY_CREATE_INTEGRITY_PROGRAM_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integrity/api/rest/controller/SpringIntegrityController.java
POST /api/v1/integrity/open-integrity-case,integrity,SpringIntegrityController,openIntegrityCase,CreateIntegrityAssessmentRequest; CreateIntegrityProgramRequest; OpenIntegrityCaseRequest; package-info,IntegrityAssessmentResponse; IntegrityCaseResponse; IntegrityProgramResponse; package-info,HIDRA_INTEGRITY_OPEN_INTEGRITY_CASE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integrity/api/rest/controller/SpringIntegrityController.java
POST /api/v1/integrity/programs,integrity,SpringIntegrityController,createIntegrityProgram,CreateIntegrityAssessmentRequest; CreateIntegrityProgramRequest; OpenIntegrityCaseRequest; package-info,IntegrityAssessmentResponse; IntegrityCaseResponse; IntegrityProgramResponse; package-info,HIDRA_INTEGRITY_PROGRAMS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/integrity/api/rest/controller/SpringIntegrityController.java
POST /api/v1/leak-detection/create-leak-candidate,leak-detection,SpringLeakDetectionController,createLeakCandidate,Unable to determine from available evidence,Map/List/Object or unable to determine from available evidence,HIDRA_LEAK_DETECTION_CREATE_LEAK_CANDIDATE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/leakdetection/api/rest/controller/SpringLeakDetectionController.java
POST /api/v1/leak-detection/open-leak-case,leak-detection,SpringLeakDetectionController,openLeakCase,Unable to determine from available evidence,Map/List/Object or unable to determine from available evidence,HIDRA_LEAK_DETECTION_OPEN_LEAK_CASE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/leakdetection/api/rest/controller/SpringLeakDetectionController.java
POST /api/v1/leakdetection/candidates,leakdetection,SpringLeakdetectionController,createLeakCandidate,CreateLeakCandidateRequest; EscalateLeakCaseRequest; OpenLeakCaseRequest; package-info,LeakCandidateResponse; LeakCaseResponse; package-info,HIDRA_LEAKDETECTION_CANDIDATES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/leakdetection/api/rest/controller/SpringLeakdetectionController.java
GET /api/v1/leakdetection/capabilities,leakdetection,SpringLeakdetectionController,capabilities,Unable to determine from static route evidence,LeakCandidateResponse; LeakCaseResponse; package-info,HIDRA_LEAKDETECTION_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/leakdetection/api/rest/controller/SpringLeakdetectionController.java
POST /api/v1/leakdetection/cases,leakdetection,SpringLeakdetectionController,openLeakCase,CreateLeakCandidateRequest; EscalateLeakCaseRequest; OpenLeakCaseRequest; package-info,LeakCandidateResponse; LeakCaseResponse; package-info,HIDRA_LEAKDETECTION_CASES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/leakdetection/api/rest/controller/SpringLeakdetectionController.java
POST /api/v1/leakdetection/cases/escalations,leakdetection,SpringLeakdetectionController,escalateLeakCase,CreateLeakCandidateRequest; EscalateLeakCaseRequest; OpenLeakCaseRequest; package-info,LeakCandidateResponse; LeakCaseResponse; package-info,HIDRA_LEAKDETECTION_CASES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/leakdetection/api/rest/controller/SpringLeakdetectionController.java
POST /api/v1/leakdetection/create-leak-candidate,leakdetection,SpringLeakdetectionController,createLeakCandidate,CreateLeakCandidateRequest; EscalateLeakCaseRequest; OpenLeakCaseRequest; package-info,LeakCandidateResponse; LeakCaseResponse; package-info,HIDRA_LEAKDETECTION_CREATE_LEAK_CANDIDATE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/leakdetection/api/rest/controller/SpringLeakdetectionController.java
POST /api/v1/leakdetection/escalate-leak-case,leakdetection,SpringLeakdetectionController,escalateLeakCase,CreateLeakCandidateRequest; EscalateLeakCaseRequest; OpenLeakCaseRequest; package-info,LeakCandidateResponse; LeakCaseResponse; package-info,HIDRA_LEAKDETECTION_ESCALATE_LEAK_CASE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/leakdetection/api/rest/controller/SpringLeakdetectionController.java
POST /api/v1/leakdetection/open-leak-case,leakdetection,SpringLeakdetectionController,openLeakCase,CreateLeakCandidateRequest; EscalateLeakCaseRequest; OpenLeakCaseRequest; package-info,LeakCandidateResponse; LeakCaseResponse; package-info,HIDRA_LEAKDETECTION_OPEN_LEAK_CASE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/leakdetection/api/rest/controller/SpringLeakdetectionController.java
GET /api/v1/monitoring/capabilities,monitoring,SpringMonitoringController,capabilities,Unable to determine from static route evidence,DeviationResponse; MonitoringRuleResponse; package-info,HIDRA_MONITORING_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/monitoring/api/rest/controller/SpringMonitoringController.java
POST /api/v1/monitoring/create-monitoring-rule,monitoring,SpringMonitoringController,createMonitoringRule,CreateMonitoringRuleRequest; RecordDeviationRequest; package-info,DeviationResponse; MonitoringRuleResponse; package-info,HIDRA_MONITORING_CREATE_MONITORING_RULE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/monitoring/api/rest/controller/SpringMonitoringController.java
POST /api/v1/monitoring/deviations,monitoring,SpringMonitoringController,recordDeviation,CreateMonitoringRuleRequest; RecordDeviationRequest; package-info,DeviationResponse; MonitoringRuleResponse; package-info,HIDRA_MONITORING_DEVIATIONS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/monitoring/api/rest/controller/SpringMonitoringController.java
POST /api/v1/monitoring/record-deviation,monitoring,SpringMonitoringController,recordDeviation,CreateMonitoringRuleRequest; RecordDeviationRequest; package-info,DeviationResponse; MonitoringRuleResponse; package-info,HIDRA_MONITORING_RECORD_DEVIATION_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/monitoring/api/rest/controller/SpringMonitoringController.java
POST /api/v1/monitoring/rules,monitoring,SpringMonitoringController,createMonitoringRule,CreateMonitoringRuleRequest; RecordDeviationRequest; package-info,DeviationResponse; MonitoringRuleResponse; package-info,HIDRA_MONITORING_RULES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/monitoring/api/rest/controller/SpringMonitoringController.java
GET /api/v1/notification/capabilities,notification,SpringNotificationController,capabilities,Unable to determine from static route evidence,NotificationDeliveryAttemptResponse; NotificationMessageResponse; NotificationRequestResponse; package-info,HIDRA_NOTIFICATION_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/notification/api/rest/controller/SpringNotificationController.java
POST /api/v1/notification/create-notification-message,notification,SpringNotificationController,createNotificationMessage,CreateNotificationMessageRequest; ReceiveNotificationRequestRequest; RecordDeliveryAttemptRequest; package-info,NotificationDeliveryAttemptResponse; NotificationMessageResponse; NotificationRequestResponse; package-info,HIDRA_NOTIFICATION_CREATE_NOTIFICATION_MESSAGE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/notification/api/rest/controller/SpringNotificationController.java
POST /api/v1/notification/delivery-attempts,notification,SpringNotificationController,recordDeliveryAttempt,CreateNotificationMessageRequest; ReceiveNotificationRequestRequest; RecordDeliveryAttemptRequest; package-info,NotificationDeliveryAttemptResponse; NotificationMessageResponse; NotificationRequestResponse; package-info,HIDRA_NOTIFICATION_DELIVERY_ATTEMPTS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/notification/api/rest/controller/SpringNotificationController.java
POST /api/v1/notification/messages,notification,SpringNotificationController,createNotificationMessage,CreateNotificationMessageRequest; ReceiveNotificationRequestRequest; RecordDeliveryAttemptRequest; package-info,NotificationDeliveryAttemptResponse; NotificationMessageResponse; NotificationRequestResponse; package-info,HIDRA_NOTIFICATION_MESSAGES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/notification/api/rest/controller/SpringNotificationController.java
POST /api/v1/notification/receive-notification-request,notification,SpringNotificationController,receiveNotificationRequest,CreateNotificationMessageRequest; ReceiveNotificationRequestRequest; RecordDeliveryAttemptRequest; package-info,NotificationDeliveryAttemptResponse; NotificationMessageResponse; NotificationRequestResponse; package-info,HIDRA_NOTIFICATION_RECEIVE_NOTIFICATION_REQUEST_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/notification/api/rest/controller/SpringNotificationController.java
POST /api/v1/notification/record-delivery-attempt,notification,SpringNotificationController,recordDeliveryAttempt,CreateNotificationMessageRequest; ReceiveNotificationRequestRequest; RecordDeliveryAttemptRequest; package-info,NotificationDeliveryAttemptResponse; NotificationMessageResponse; NotificationRequestResponse; package-info,HIDRA_NOTIFICATION_RECORD_DELIVERY_ATTEMPT_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/notification/api/rest/controller/SpringNotificationController.java
POST /api/v1/notification/requests,notification,SpringNotificationController,receiveNotificationRequest,CreateNotificationMessageRequest; ReceiveNotificationRequestRequest; RecordDeliveryAttemptRequest; package-info,NotificationDeliveryAttemptResponse; NotificationMessageResponse; NotificationRequestResponse; package-info,HIDRA_NOTIFICATION_REQUESTS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/notification/api/rest/controller/SpringNotificationController.java
POST /api/v1/organization/assign-employee,organization,SpringOrganizationController,assignEmployee,AssignEmployeeRequest; CreateOrganizationUnitRequest; RegisterEmployeeRequest; package-info,EmployeeResponse; OrganizationUnitResponse; package-info,HIDRA_ORGANIZATION_ASSIGN_EMPLOYEE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/organization/api/rest/controller/SpringOrganizationController.java
GET /api/v1/organization/capabilities,organization,SpringOrganizationController,capabilities,Unable to determine from static route evidence,EmployeeResponse; OrganizationUnitResponse; package-info,HIDRA_ORGANIZATION_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/organization/api/rest/controller/SpringOrganizationController.java
POST /api/v1/organization/create-organization-unit,organization,SpringOrganizationController,createOrganizationUnit,AssignEmployeeRequest; CreateOrganizationUnitRequest; RegisterEmployeeRequest; package-info,EmployeeResponse; OrganizationUnitResponse; package-info,HIDRA_ORGANIZATION_CREATE_ORGANIZATION_UNIT_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/organization/api/rest/controller/SpringOrganizationController.java
POST /api/v1/organization/employees,organization,SpringOrganizationController,registerEmployee,AssignEmployeeRequest; CreateOrganizationUnitRequest; RegisterEmployeeRequest; package-info,EmployeeResponse; OrganizationUnitResponse; package-info,HIDRA_ORGANIZATION_EMPLOYEES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/organization/api/rest/controller/SpringOrganizationController.java
POST /api/v1/organization/employees/assignments,organization,SpringOrganizationController,assignEmployee,AssignEmployeeRequest; CreateOrganizationUnitRequest; RegisterEmployeeRequest; package-info,EmployeeResponse; OrganizationUnitResponse; package-info,HIDRA_ORGANIZATION_EMPLOYEES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/organization/api/rest/controller/SpringOrganizationController.java
POST /api/v1/organization/register-employee,organization,SpringOrganizationController,registerEmployee,AssignEmployeeRequest; CreateOrganizationUnitRequest; RegisterEmployeeRequest; package-info,EmployeeResponse; OrganizationUnitResponse; package-info,HIDRA_ORGANIZATION_REGISTER_EMPLOYEE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/organization/api/rest/controller/SpringOrganizationController.java
POST /api/v1/organization/units,organization,SpringOrganizationController,createOrganizationUnit,AssignEmployeeRequest; CreateOrganizationUnitRequest; RegisterEmployeeRequest; package-info,EmployeeResponse; OrganizationUnitResponse; package-info,HIDRA_ORGANIZATION_UNITS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/organization/api/rest/controller/SpringOrganizationController.java
POST /api/v1/party/assign-role,party,SpringPartyController,assignRole,AssignPartyRoleRequest; RegisterPartyRequest; package-info,PartyResponse; package-info,HIDRA_PARTY_ASSIGN_ROLE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/party/api/rest/controller/SpringPartyController.java
GET /api/v1/party/capabilities,party,SpringPartyController,capabilities,Unable to determine from static route evidence,PartyResponse; package-info,HIDRA_PARTY_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/party/api/rest/controller/SpringPartyController.java
POST /api/v1/party/parties,party,SpringPartyController,registerParty,AssignPartyRoleRequest; RegisterPartyRequest; package-info,PartyResponse; package-info,HIDRA_PARTY_PARTIES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/party/api/rest/controller/SpringPartyController.java
POST /api/v1/party/register-party,party,SpringPartyController,registerParty,AssignPartyRoleRequest; RegisterPartyRequest; package-info,PartyResponse; package-info,HIDRA_PARTY_REGISTER_PARTY_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/party/api/rest/controller/SpringPartyController.java
POST /api/v1/party/roles/assignments,party,SpringPartyController,assignRole,AssignPartyRoleRequest; RegisterPartyRequest; package-info,PartyResponse; package-info,HIDRA_PARTY_ROLES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/party/api/rest/controller/SpringPartyController.java
GET /api/v1/planning/capabilities,planning,SpringPlanningController,capabilities,Unable to determine from static route evidence,OperationalPlanResponse; PlanningPeriodResponse; package-info,HIDRA_PLANNING_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/planning/api/rest/controller/SpringPlanningController.java
POST /api/v1/planning/create-operational-plan,planning,SpringPlanningController,createOperationalPlan,CreateOperationalPlanRequest; CreatePlanningPeriodRequest; package-info,OperationalPlanResponse; PlanningPeriodResponse; package-info,HIDRA_PLANNING_CREATE_OPERATIONAL_PLAN_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/planning/api/rest/controller/SpringPlanningController.java
POST /api/v1/planning/create-planning-period,planning,SpringPlanningController,createPlanningPeriod,CreateOperationalPlanRequest; CreatePlanningPeriodRequest; package-info,OperationalPlanResponse; PlanningPeriodResponse; package-info,HIDRA_PLANNING_CREATE_PLANNING_PERIOD_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/planning/api/rest/controller/SpringPlanningController.java
POST /api/v1/planning/operational-plans,planning,SpringPlanningController,createOperationalPlan,CreateOperationalPlanRequest; CreatePlanningPeriodRequest; package-info,OperationalPlanResponse; PlanningPeriodResponse; package-info,HIDRA_PLANNING_OPERATIONAL_PLANS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/planning/api/rest/controller/SpringPlanningController.java
POST /api/v1/planning/periods,planning,SpringPlanningController,createPlanningPeriod,CreateOperationalPlanRequest; CreatePlanningPeriodRequest; package-info,OperationalPlanResponse; PlanningPeriodResponse; package-info,HIDRA_PLANNING_PERIODS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/planning/api/rest/controller/SpringPlanningController.java
GET /api/v1/realtime/capabilities,realtime,HidraRealtimeRestController,capabilities,Unable to determine from static route evidence,Map/List/Object or unable to determine from available evidence,HIDRA_REALTIME_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/platform/realtime/HidraRealtimeRestController.java
GET /api/v1/realtime/sse,realtime,HidraRealtimeRestController,sse,Unable to determine from static route evidence,Map/List/Object or unable to determine from available evidence,HIDRA_REALTIME_SSE_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/platform/realtime/HidraRealtimeRestController.java
POST /api/v1/reporting/artifacts,reporting,SpringReportingController,generateReportArtifact,CreateReportDefinitionRequest; GenerateReportArtifactRequest; QueueReportRunRequest; RequestReportRequest; package-info,ReportDefinitionResponse; ReportOutputArtifactResponse; ReportRequestResponse; ReportRunResponse; package-info,HIDRA_REPORTING_ARTIFACTS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/reporting/api/rest/controller/SpringReportingController.java
GET /api/v1/reporting/capabilities,reporting,SpringReportingController,capabilities,Unable to determine from static route evidence,ReportDefinitionResponse; ReportOutputArtifactResponse; ReportRequestResponse; ReportRunResponse; package-info,HIDRA_REPORTING_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/reporting/api/rest/controller/SpringReportingController.java
POST /api/v1/reporting/create-report-definition,reporting,SpringReportingController,createReportDefinition,CreateReportDefinitionRequest; GenerateReportArtifactRequest; QueueReportRunRequest; RequestReportRequest; package-info,ReportDefinitionResponse; ReportOutputArtifactResponse; ReportRequestResponse; ReportRunResponse; package-info,HIDRA_REPORTING_CREATE_REPORT_DEFINITION_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/reporting/api/rest/controller/SpringReportingController.java
POST /api/v1/reporting/definitions,reporting,SpringReportingController,createReportDefinition,CreateReportDefinitionRequest; GenerateReportArtifactRequest; QueueReportRunRequest; RequestReportRequest; package-info,ReportDefinitionResponse; ReportOutputArtifactResponse; ReportRequestResponse; ReportRunResponse; package-info,HIDRA_REPORTING_DEFINITIONS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/reporting/api/rest/controller/SpringReportingController.java
POST /api/v1/reporting/generate-report-artifact,reporting,SpringReportingController,generateReportArtifact,CreateReportDefinitionRequest; GenerateReportArtifactRequest; QueueReportRunRequest; RequestReportRequest; package-info,ReportDefinitionResponse; ReportOutputArtifactResponse; ReportRequestResponse; ReportRunResponse; package-info,HIDRA_REPORTING_GENERATE_REPORT_ARTIFACT_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/reporting/api/rest/controller/SpringReportingController.java
